Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C]
Current time: 2020-08-17_15-22-39-315009
2020-08-17 15-55-01-232685 198 1946095 355 68.30 1578 26.70
2020-08-17 15-55-08-343004 199 1953211 399 87.30 1585 26.70
2020-08-17 15-55-26-649436 200 1971533 140 25.42 1595 26.91
2020-08-17 15-55-26-931890 201 1971820 211 35.96 1601 26.70
2020-08-17 15-55-36-300377 202 1981191 236 40.44 1608 26.70
2020-08-17 15-55-42-869992 203 1987768 399 87.30 1618 27.13
2020-08-17 15-56-13-473725 204 2018398 199 33.86 1636 26.91
2020-08-17 15-56-17-710873 205 2022640 287 50.23 1642 26.91
2020-08-17 15-56-28-041150 206 2032978 195 33.17 1652 26.70
2020-08-17 15-56-30-950347 207 2035894 312 55.68 1658 27.13
2020-08-17 15-56-36-891398 208 2041836 126 24.09 1663 26.91
2020-08-17 15-56-39-655524 209 2044606 184 31.36 1669 26.81
2020-08-17 15-56-53-887976 210 2058847 252 43.42 1678 26.70
2020-08-17 15-57-00-606128 211 2065571 207 35.26 1687 26.70
2020-08-17 15-57-06-246095 212 2071220 112 22.94 1694 26.70
2020-08-17 15-57-07-506432 213 2072476 280 48.67 1701 26.91
2020-08-17 15-57-11-526924 214 2076506 255 43.96 1710 26.91
2020-08-17 15-57-14-550441 215 2079526 307 54.48 1716 26.91
2020-08-17 15-57-15-390005 216 2080369 252 43.42 1721 26.48
2020-08-17 15-57-16-848860 217 2081831 263 45.37 1728 26.70
2020-08-17 15-57-20-518350 218 2085500 339 62.98 1735 26.70
2020-08-17 15-57-26-735342 219 2091722 192 32.67 1742 27.13
2020-08-17 15-57-42-627133 220 2107628 94 21.50 1749 26.91
2020-08-17 15-57-44-851328 221 2109859 248 42.69 1755 26.91
2020-08-17 15-58-03-056070 222 2128075 224 38.29 1769 26.91
2020-08-17 15-58-08-285393 223 2133313 268 46.26 1775 26.81
2020-08-17 15-58-11-014769 224 2136045 270 46.71 1781 26.70
2020-08-17 15-58-37-002190 225 2162050 380 78.12 1792 26.91
2020-08-17 15-58-37-352418 226 2162405 231 39.55 1797 26.91
2020-08-17 15-58-44-454962 227 2169513 156 27.28 1803 26.70
2020-08-17 15-58-52-854270 228 2177920 159 27.66 1812 27.13
2020-08-17 15-59-04-797277 229 2189869 319 57.64 1821 26.70
2020-08-17 15-59-05-296831 230 2190373 216 36.85 1826 26.48
2020-08-17 15-59-08-370957 231 2193446 199 33.86 1831 26.91
2020-08-17 15-59-46-190032 232 2231303 304 53.73 1846 26.91
2020-08-17 15-59-50-672196 233 2235784 134 24.82 1852 27.13
2020-08-17 15-59-56-293586 234 2241416 94 21.50 1860 26.91
2020-08-17 16-00-01-866639 235 2246989 135 24.92 1867 26.70
2020-08-17 16-00-13-664292 236 2258796 263 45.37 1878 26.48
2020-08-17 16-00-17-875388 237 2263013 227 38.83 1886 26.70
2020-08-17 16-00-19-989771 238 2265129 224 38.29 1893 26.91
2020-08-17 16-00-21-270352 239 2266414 231 39.55 1899 26.70
2020-08-17 16-00-27-818058 240 2272962 195 33.17 1908 26.91
2020-08-17 16-00-38-557959 241 2283712 134 24.82 1919 26.91
2020-08-17 16-00-54-641931 242 2299809 224 38.29 1931 26.91
2020-08-17 16-01-03-234178 243 2308412 159 27.66 1941 26.91
2020-08-17 16-01-03-690512 244 2308867 242 41.58 1946 26.91
2020-08-17 16-01-29-466553 245 2334664 255 43.96 1956 26.91
2020-08-17 16-01-32-991838 246 2338197 108 22.63 1962 27.13
2020-08-17 16-01-36-178963 247 2341387 137 25.12 1967 26.91
2020-08-17 16-01-50-101782 248 2355316 391 82.35 1981 26.70
2020-08-17 16-01-51-105973 249 2356328 316 56.81 1986 26.91
2020-08-17 16-01-54-074756 250 2359292 255 43.96 1992 26.70
2020-08-17 16-02-14-667109 251 2379904 220 37.58 2003 26.91
2020-08-17 16-02-17-707397 252 2382950 99 21.91 2011 26.91
2020-08-17 16-02-18-925862 253 2384166 192 32.67 2016 26.70
2020-08-17 16-02-33-636076 254 2398892 216 36.85 2024 26.48
2020-08-17 16-02-34-246318 255 2399501 135 24.92 2029 27.13
2020-08-17 16-03-10-151982 256 2435441 319 57.64 2043 26.91
2020-08-17 16-03-37-733978 257 2463047 152 26.78 2056 27.13
2020-08-17 16-03-55-244479 258 2480569 48 15.29 2071 26.91
2020-08-17 16-03-58-194679 259 2483526 207 35.26 2076 26.70
2020-08-17 16-03-59-756453 260 2485086 633 241.23 2082 26.91
2020-08-17 16-04-08-199429 261 2493540 204 34.73 2090 26.70
2020-08-17 16-04-09-893555 262 2495229 198 33.69 2095 26.91
2020-08-17 16-04-18-583233 263 2503928 220 37.58 2103 27.13
2020-08-17 16-04-34-821316 264 2520181 156 27.28 2110 26.91
2020-08-17 16-04-44-593353 265 2529961 195 33.17 2119 26.91
2020-08-17 16-04-56-526382 266 2541904 207 35.26 2126 26.91
2020-08-17 16-05-01-071546 267 2546456 135 24.92 2132 26.91
2020-08-17 16-05-03-738041 268 2549125 147 26.19 2139 26.91
2020-08-17 16-05-08-305020 269 2553692 222 37.96 2147 26.48
2020-08-17 16-05-09-191650 270 2554580 174 29.79 2152 26.70
2020-08-17 16-05-17-246877 271 2562644 243 41.74 2158 26.91
2020-08-17 16-05-33-415201 272 2578827 192 32.67 2169 26.91
2020-08-17 16-05-33-460220 273 2578875 161 27.93 2174 26.70
2020-08-17 16-05-41-311689 274 2586733 252 43.42 2183 26.91
2020-08-17 16-05-51-029061 275 2596454 188 32.01 2196 26.70
2020-08-17 16-06-04-588799 276 2609999 398 85.63 2203 26.70
2020-08-17 16-06-04-594784 277 2610035 211 35.96 2208 27.13
2020-08-17 16-06-07-679542 278 2613124 103 22.23 2213 26.70
2020-08-17 16-06-10-987388 279 2616431 284 49.41 2218 27.13
2020-08-17 16-06-11-615569 280 2617058 179 30.55 2224 26.91
2020-08-17 16-06-21-745310 281 2627202 176 30.09 2232 26.91
2020-08-17 16-06-23-469683 282 2628926 190 32.33 2237 26.70
2020-08-17 16-06-24-220636 283 2629679 300 52.79 2242 26.91
2020-08-17 16-06-27-849836 284 2633306 355 68.30 2249 26.70
2020-08-17 16-06-28-030267 285 2633487 280 48.67 2254 26.70
2020-08-17 16-06-40-836289 286 2646306 224 38.29 2265 26.70
2020-08-17 16-06-41-627476 287 2647097 192 32.67 2271 26.91
2020-08-17 16-06-43-218907 288 2648693 236 40.44 2276 26.70
2020-08-17 16-06-53-295686 289 2658776 192 32.67 2288 26.70
2020-08-17 16-07-16-184317 290 2681688 348 65.64 2298 27.13
2020-08-17 16-07-29-478882 291 2694993 124 23.92 2305 26.70
2020-08-17 16-07-33-412078 292 2698929 169 29.05 2313 26.48
2020-08-17 16-07-44-039418 293 2709565 248 42.69 2319 27.13
2020-08-17 16-07-47-107961 294 2712636 179 30.55 2325 26.70
2020-08-17 16-07-48-664207 295 2714194 451 113.08 2330 26.70
2020-08-17 16-07-50-357533 296 2715890 291 50.97 2336 26.91
2020-08-17 16-07-55-387280 297 2720923 240 41.21 2344 26.91
2020-08-17 16-08-10-278048 298 2735823 190 32.33 2358 26.48
2020-08-17 16-08-15-201897 299 2740757 103 22.23 2363 26.70
2020-08-17 16-08-25-410323 300 2750973 440 109.25 2370 26.91
2020-08-17 16-08-45-572347 301 2771153 312 55.68 2379 26.91
2020-08-17 16-08-46-690126 302 2772271 255 43.96 2384 26.70
2020-08-17 16-08-53-814012 303 2779403 352 66.89 2393 26.91
2020-08-17 16-08-56-196183 304 2781787 167 28.76 2399 26.70
2020-08-17 16-08-56-696630 305 2782282 307 54.48 2405 26.91
2020-08-17 16-08-57-578126 306 2783169 248 42.69 2411 27.13
2020-08-17 16-08-58-200118 307 2783793 220 37.58 2417 26.70
2020-08-17 16-08-59-595247 308 2785188 248 42.69 2423 26.91
2020-08-17 16-09-16-081012 309 2801687 70 18.93 2433 26.70
2020-08-17 16-09-33-898928 310 2819522 227 38.83 2445 26.91
2020-08-17 16-09-41-308730 311 2826933 143 25.74 2454 26.91
2020-08-17 16-09-44-456125 312 2830089 126 24.09 2460 26.91
2020-08-17 16-10-00-279779 313 2845925 263 45.37 2472 26.70
2020-08-17 16-10-12-352155 314 2858009 209 35.61 2479 26.70
2020-08-17 16-10-13-960622 315 2859614 147 26.19 2484 26.91
2020-08-17 16-10-16-512345 316 2862168 193 32.84 2490 27.13
2020-08-17 16-10-29-280127 317 2874946 312 55.68 2498 26.91
2020-08-17 16-10-42-120492 318 2887802 273 47.25 2507 27.13
2020-08-17 16-11-01-874056 319 2907572 227 38.83 2520 26.91
2020-08-17 16-11-11-890517 320 2917598 174 29.79 2531 27.34
2020-08-17 16-11-19-744037 321 2925455 120 23.58 2538 26.70
2020-08-17 16-11-29-229163 322 2934950 231 39.55 2549 26.91
2020-08-17 16-11-30-589436 323 2936309 184 31.36 2555 26.91
2020-08-17 16-11-31-270662 324 2936993 184 31.36 2560 26.70
2020-08-17 16-11-43-003104 325 2948739 350 66.46 2567 26.91
2020-08-17 16-11-45-248331 326 2950985 167 28.76 2573 26.70
2020-08-17 16-11-46-073393 327 2951811 255 43.96 2578 27.13
2020-08-17 16-11-50-401766 328 2956138 263 45.37 2585 26.70
2020-08-17 16-11-52-218675 329 2957962 332 61.17 2592 26.91
2020-08-17 16-11-54-287247 330 2960032 224 38.29 2599 26.70
2020-08-17 16-11-59-778341 331 2965528 220 37.58 2608 26.59
2020-08-17 16-12-04-668421 332 2970419 188 32.01 2614 26.91
2020-08-17 16-12-08-740785 333 2974494 344 64.67 2619 27.13
2020-08-17 16-12-09-047968 334 2974799 289 50.47 2624 26.70
2020-08-17 16-12-20-700283 335 2986466 252 43.42 2634 26.91
2020-08-17 16-12-44-671278 336 3010458 463 119.23 2648 26.91
2020-08-17 16-12-45-989210 337 3011778 142 25.64 2654 27.13
2020-08-17 16-12-55-184152 338 3020982 156 27.28 2662 27.13
2020-08-17 16-12-59-851408 339 3025653 216 36.85 2670 26.91
2020-08-17 16-13-08-783848 340 3034592 152 26.78 2680 27.13
2020-08-17 16-13-15-821076 341 3041632 248 42.69 2687 26.91
2020-08-17 16-13-21-498336 342 3047315 211 35.96 2696 27.13
2020-08-17 16-13-29-988817 343 3055816 179 30.55 2703 26.81
2020-08-17 16-13-50-703681 344 3076545 339 62.98 2711 26.91
2020-08-17 16-13-53-793906 345 3079639 227 38.83 2718 26.91
2020-08-17 16-14-02-397179 346 3088253 176 30.09 2729 26.70
2020-08-17 16-14-20-392915 347 3106259 179 30.55 2735 26.91
2020-08-17 16-14-22-673853 348 3108544 216 36.85 2740 26.91
2020-08-17 16-14-34-979399 349 3120859 176 30.09 2750 26.91
2020-08-17 16-15-01-608035 350 3147512 284 49.41 2760 26.91
2020-08-17 16-15-05-107489 351 3151015 595 212.63 2766 26.81
2020-08-17 16-15-07-247852 352 3153160 113 23.02 2772 26.70
2020-08-17 16-15-08-871241 353 3154781 384 80.08 2778 26.70
2020-08-17 16-15-11-745593 354 3157662 184 31.36 2784 26.70
2020-08-17 16-15-13-424079 355 3159341 287 50.23 2790 26.48
2020-08-17 16-15-14-729980 356 3160648 209 35.61 2796 26.70
2020-08-17 16-15-26-926082 357 3172850 300 52.79 2805 26.91
2020-08-17 16-15-37-750148 358 3183689 224 38.29 2812 26.91
2020-08-17 16-15-42-125769 359 3188065 268 46.26 2820 26.91
2020-08-17 16-16-01-296510 360 3207254 236 40.44 2829 26.91
2020-08-17 16-16-02-000785 361 3207957 240 41.21 2836 26.91
2020-08-17 16-16-06-114633 362 3212072 368 72.93 2844 26.91
2020-08-17 16-16-12-114618 363 3218081 184 31.36 2851 26.91
2020-08-17 16-16-19-782136 364 3225751 240 41.21 2862 26.91
2020-08-17 16-16-39-478184 365 3245466 307 54.48 2868 26.70
2020-08-17 16-16-42-944198 366 3248934 209 35.61 2875 26.70
2020-08-17 16-16-49-472929 367 3255469 204 34.73 2884 26.70
2020-08-17 16-16-49-713055 368 3255708 255 43.96 2889 27.02
2020-08-17 16-16-53-911617 369 3259912 312 55.68 2894 26.91
2020-08-17 16-16-57-242440 370 3263247 220 37.58 2899 26.70
2020-08-17 16-16-59-008034 371 3265012 192 32.67 2905 26.91
2020-08-17 16-17-06-131771 372 3272147 166 28.62 2912 26.91
2020-08-17 16-17-07-414284 373 3273431 216 36.85 2920 26.91
2020-08-17 16-17-11-042113 374 3277057 127 24.18 2925 26.91
2020-08-17 16-17-11-399472 375 3277419 396 85.28 2931 26.70
2020-08-17 16-17-17-669650 376 3283690 204 34.73 2938 26.91
2020-08-17 16-17-18-342847 377 3284366 102 22.15 2943 27.13
2020-08-17 16-17-24-995570 378 3291027 263 45.37 2950 26.91
2020-08-17 16-17-31-349962 379 3297387 271 46.93 2958 26.70
2020-08-17 16-17-32-035006 380 3298073 231 39.55 2964 26.91
2020-08-17 16-17-35-490139 381 3301526 206 35.07 2971 27.13
2020-08-17 16-17-39-036446 382 3305080 216 36.85 2977 26.91
2020-08-17 16-17-40-661506 383 3306702 268 46.26 2982 26.91
2020-08-17 16-17-44-381485 384 3310430 352 66.89 2990 27.13
2020-08-17 16-17-47-763967 385 3313815 131 24.54 2996 26.91
2020-08-17 16-17-51-003959 386 3317053 167 28.76 3002 26.91
2020-08-17 16-17-54-334775 387 3320389 131 24.54 3007 26.91
2020-08-17 16-17-57-346549 388 3323405 176 30.09 3013 26.70
2020-08-17 16-18-02-886359 389 3328947 152 26.78 3020 26.91
2020-08-17 16-18-11-539185 390 3337607 156 27.28 3027 26.70
2020-08-17 16-18-14-005043 391 3340080 143 25.74 3035 26.70
2020-08-17 16-18-25-268022 392 3351352 211 35.96 3045 26.91
2020-08-17 16-18-26-859356 393 3352943 664 270.86 3050 26.91
2020-08-17 16-18-28-690959 394 3354775 287 50.23 3057 26.91
2020-08-17 16-18-33-758795 395 3359848 305 53.88 3063 26.70
2020-08-17 16-18-44-589151 396 3370690 167 28.76 3070 26.91
2020-08-17 16-18-44-910103 397 3371012 199 33.86 3075 26.91
